Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,8.8263,9.0767,8.8263,8.8263,0,8.8263
2014-02-25,9.0748,9.6954,9.0748,9.0742,0,9.0742
2014-02-26,9.6985,10.048,9.6985,9.6954,0,9.6954
2014-02-27,10.345999999999998,11.149,10.344,10.048,0,10.048
2014-02-28,11.108,11.108,9.538,11.149,0,11.149
2014-03-03,9.5551,9.5551,9.5331,9.5355,0,9.5355
2014-03-04,9.5549,9.5549,9.2337,9.5331,0,9.5331
2014-03-05,9.2462,9.2462,9.1297,9.2337,0,9.2337
2014-03-06,9.1295,9.1295,9.0753,9.1297,0,9.1297
2014-03-07,9.0065,9.0065,8.8936,9.0753,0,9.0753
2014-03-10,8.9093,9.0143,8.9062,8.9093,0,8.9093
2014-03-11,9.0174,9.0174,9.0099,9.0143,0,9.0143
2014-03-12,9.0088,9.1061,9.0088,9.0099,0,9.0099
2014-03-13,9.0876,9.4849,9.0876,9.1061,0,9.1061
2014-03-14,9.5492,9.6336,9.5492,9.4849,0,9.4849
2014-03-17,9.6192,9.6237,9.5338,9.6135,0,9.6135
2014-03-18,9.5026,9.8134,9.5026,9.5338,0,9.5338
2014-03-19,9.8115,9.885,9.8115,9.8134,0,9.8134
2014-03-20,9.9589,10.135,9.9507,9.885,0,9.885
2014-03-21,10.127,10.333,10.127,10.135,0,10.135
2014-03-24,10.336,10.581,10.334,10.331,0,10.331
2014-03-25,10.525,10.741,10.525,10.581,0,10.581
2014-03-26,10.732,10.933,10.732,10.728,0,10.728
2014-03-27,10.936,10.985,10.936,10.933,0,10.933
2014-03-28,10.999,10.999,10.882,10.985,0,10.985
2014-03-31,10.868,11.157,10.866,10.867,0,10.867
2014-04-01,11.177,11.177,11.129,11.157,0,11.157
2014-04-02,11.130999999999998,11.130999999999998,11.128,11.129,0,11.129
2014-04-03,11.237,11.237,11.237,11.144,0,11.144
2014-04-04,11.267,11.38,11.267,11.237,0,11.237
2014-04-07,11.382,11.476,11.382,11.378,0,11.378
2014-04-08,11.466,11.582,11.466,11.476,0,11.476
2014-04-09,11.559,11.933,11.559,11.582,0,11.582
2014-04-10,11.892,11.936,11.892,11.933,0,11.933
2014-04-11,11.918,12.495,11.918,11.936,0,11.936
2014-04-14,12.535,12.932,12.535,12.536,0,12.536
2014-04-15,12.946,12.946,11.754,12.932,0,12.932
2014-04-16,11.746,11.746,11.081,11.754,0,11.754
2014-04-17,11.095999999999998,11.095999999999998,10.932,11.081,0,11.081
2014-04-18,10.966,10.966,10.959,10.932,0,10.932
2014-04-21,10.963,10.963,10.956,10.963,0,10.963
2014-04-22,10.98,11.456,10.98,10.956,0,10.956
2014-04-23,11.469,11.469,11.409,11.456,0,11.456
